SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DOB,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,Price,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2021,M,21KEENOV,11/10/2021,1,1,14,14,Screwgie,Screwgie,,,5/6/2012,11,DB/BR,Mare,,B,,,,Smart Strike,Smart Strike,Roshani,Roshani,,,,,,,,Omaha Beach,6/25/2021,"Kaizen Sales (Richard Kent), Agent III ",,,,"Marette Farrell, Agent",,,,120000,,,,,T,2012
2021,M,21KEENOV,11/10/2021,1,1,15,15,Serena's Image,Serena's Image,,,4/24/2018,5,B,Mare,,B,,,,Curlin,Curlin,Serena's Cat,Serena's Cat,,,,,,,,Medaglia d'Oro,2/14/2021,"Hill 'n' Dale Sales Agency, Agent ",,,,Out,,,,0,,,,,T,2018
2021,M,21KEENOV,11/10/2021,1,1,16,16,Spanish Girl,Spanish Girl,,,1/26/2021,2,B,Filly,,WN,,,,City of Light,City of Light,Shanghai Starlet,Shanghai Starlet,,,,,,,,,,"Mulholland Springs, Agent ",,,,Andrew N. Warren,,,,150000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,17,17,She's My Gem,She's My Gem,,,3/9/2016,7,B,Mare,,B,,,,Into Mischief,Into Mischief,Our Unbridled Gem,Our Unbridled Gem,,,,,,,,More Than Ready,3/14/2021,"Paramount Sales, Agent XXIX ",,,,Three Chimneys Farm,,,,325000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,18,18,Adellegator,Adellegator,,,3/15/2021,2,B,Filly,,WN,,,,Justify,Justify,Silver Fern,Silver Fern,,,,,,,,,,"Paramount Sales, Agent XV ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,19,19,Sing Me Home (GB),Sing Me Home (GB),,,5/12/2017,6,DB/BR,Mare,,B,,,,Muhaarar (GB),Muhaarar (GB),Smart Change,Smart Change,,,,,,,,Munnings,3/8/2021,"Glennwood Farm Inc., Agent ",,,,"R.N.A. (85,000)",,,,,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,20,20,Sky Walk,Sky Walk,,,4/23/2011,12,B,Mare,,B,,,,Unbridled's Song,Unbridled's Song,Skye Castles,Skye Castles,,,,,,,,Omaha Beach,5/7/2021,"Kaizen Sales (Richard Kent), Agent III ",,,,Susan Moulton,,,,160000,,,,,T,2011
2021,M,21KEENOV,11/10/2021,1,1,21,21,Purloin,Purloin,,,1/28/2021,2,DB/BR,Filly,,WN,,,,Arrogate,Arrogate,Smooth Path,Smooth Path,,,,,,,,,,"Ballysax Bloodstock, Agent for Grantley Acres ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,22,22,Smooth Path,Smooth Path,,,3/26/2016,7,DB/BR,Mare,,B,,,,Scat Daddy,Scat Daddy,Silk Route,Silk Route,,,,,,,,Authentic,3/17/2021,"Ballysax Bloodstock, Agent for Grantley Acres ",,,,Out,,,,0,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,23,23,Sociable,Sociable,,,4/25/2010,13,GR/RO,Mare,,B,,,,Run Away and Hide,Run Away and Hide,Greyciousness,Greyciousness,,,,,,,,Not This Time,2/26/2021,"Taylor Made Sales Agency, Agent XXXVIII ",,,,"Phil Schoenthal, Agent for Determined Stud",,,,300000,,,,,T,2010
2021,M,21KEENOV,11/10/2021,1,1,24,24,Bit o' Donegal,Bit o' Donegal,,,3/11/2021,2,B,Colt,,WN,,,,Candy Ride (ARG),Candy Ride (ARG),Soft Whisper,Soft Whisper,,,,,,,,,,"Taylor Made Sales Agency, Agent CXXIX ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,25,25,Mozlzil,Mozlzil,,,2/2/2021,2,B,Colt,,WN,,,,Uncle Mo,Uncle Mo,Southern Strike,Southern Strike,,,,,,,,,,"Glennwood Farm Inc., Agent ",,,,Global Racing LLC,,,,160000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,26,26,Southern Strike,Southern Strike,,,5/26/2007,16,B,Mare,,B,,,,Smart Strike,Smart Strike,Promenade Colony,Promenade Colony,,,,,,,,Audible,3/4/2021,"Glennwood Farm Inc., Agent ",,,,"Milfer Farm, Inc.",,,,60000,,,,,T,2007
2021,M,21KEENOV,11/10/2021,1,1,27,27,Spanish Harlem,Spanish Harlem,,,4/2/2014,9,CH,Mare,,B,,,,More Than Ready,More Than Ready,Spanish Silks,Spanish Silks,,,,,,,,Liam's Map,5/19/2021,"Lane's End, Agent ",,,,Out,,,,0,,,,,T,2014
2021,M,21KEENOV,11/10/2021,1,1,28,28,Special Honor,Special Honor,,,4/2/2017,6,GR/RO,Mare,,B,,,,Honor Code,Honor Code,Special Me,Special Me,,,,,,,,Into Mischief,2/28/2021,"Denali Stud, Agent XVII ",,,,"R.N.A. (675,000)",,,,,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,29,29,S S Pinafore,S S Pinafore,,,2/27/2009,14,B,Mare,,B,,,,Street Sense,Street Sense,Pinafores Pride,Pinafores Pride,,,,,,,,Authentic,5/19/2021,"Taylor Made Sales Agency, Agent XXIV ",,,,Out,,,,0,,,,,T,2009
2021,M,21KEENOV,11/10/2021,1,1,30,30,Last Episode,Last Episode,,,2/28/2021,2,B,Filly,,WN,,,,Into Mischief,Into Mischief,Steelin',Steelin',,,,,,,,,,Stonehaven Steadings ,,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,31,31,,,,,2/22/2021,2,B,Filly,,WN,,,,Collected,Collected,Street Mate,Street Mate,,,,,,,,,,"Brereton C. Jones/Airdrie Stud Inc., Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,32,32,Beat the Gun,Beat the Gun,,,2/27/2021,2,CH   ,Colt,,WN,,,,Gun Runner,Gun Runner,Strive,Strive,,,,,,,,,,"Terrazas Thoroughbreds, Agent for Corser Thoroughbreds, LLC ",,,,Narvick Int'l,,,,380000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,33,33,Stunning Sky,Stunning Sky,,,2/28/2017,6,B,Filly,,BRP,,,,Declaration of War,Declaration of War,Sky Walk,Sky Walk,,,,,,,,,,"Taylor Made Sales Agency, Agent XCII ",,,,Stonehaven Steadings,,,,250000,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,34,34,Super Patriot,Super Patriot,,,1/31/2015,8,CH,Mare,,B,,,,Unusual Heat,Unusual Heat,Patriot C H,Patriot C H,,,,,,,,Gun Runner,3/3/2021,"Checkmate Thoroughbreds LLC (Adrian Gonzalez), Agent ",,,,Woodford Thoroughbreds LLC,,,,300000,,,,,T,2015
2021,M,21KEENOV,11/10/2021,1,1,35,35,Catalina Cruzin,Catalina Cruzin,,,2/9/2021,2,B,Filly,,WN,,,,Catalina Cruiser,Catalina Cruiser,Surrender Dorothy,Surrender Dorothy,,,,,,,,,,"Taylor Made Sales Agency, Agent CLVIII ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,36,36,Sarir,Sarir,,,4/4/2021,2,B,Filly,,WN,,,,American Pharoah,American Pharoah,Swak,Swak,,,,,,,,,,"Mulholland Springs, Agent VIII ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,37,37,Kehoe Beach,Kehoe Beach,,,3/3/2021,2,B    ,Filly,,WN,,,,Omaha Beach,Omaha Beach,Sweet Awakening,Sweet Awakening,,,,,,,,,,"Denali Stud, Agent XXXIX ",,,,"Peter Pugh, Agent for Cherry Knoll Farm",,,,180000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,38,38,Sweet Tea,Sweet Tea,,,4/19/2018,5,B,Filly,,BRP,,,,Into Mischief,Into Mischief,Ava Pie,Ava Pie,,,,,,,,,,"Taylor Made Sales Agency, Agent for Fox Hill Farms, Inc. ",,,,Out,,,,0,,,,,T,2018
2021,M,21KEENOV,11/10/2021,1,1,39,39,Tapit Today,Tapit Today,,,2/13/2015,8,GR/RO,Mare,,B,,,,Tapit,Tapit,La Nez,La Nez,,,,,,,,Nyquist,3/4/2021,"Gainesway, Agent XXXII ",,,,Winchell Thoroughbreds LLC,,,,650000,,,,,T,2015
2021,M,21KEENOV,11/10/2021,1,1,40,40,Temptress,Temptress,,,2/25/2010,13,DB/BR,Mare,,B,,,,Tapit,Tapit,Perfect Cause,Perfect Cause,,,,,,,,Gun Runner,2/24/2021,"Gainesway, Agent XXVII ",,,,"Avenue Bloodstock, LLC",,,,400000,,,,,T,2010
2021,M,21KEENOV,11/10/2021,1,1,41,41,Tepin Thru Life (IRE),Tepin Thru Life (IRE),,,5/1/2018,5,DB/BR,Mare,,B,,,,Curlin,Curlin,Tepin,Tepin,,,,,,,,American Pharoah,2/21/2021,"Paramount Sales, Agent XXXV ",,,,"R.N.A. (370,000)",,,,,,,,,T,2018
2021,M,21KEENOV,11/10/2021,1,1,42,42,,,,,3/22/2021,2,B    ,Colt,,WN,,,,City of Light,City of Light,Terrific Tiffany,Terrific Tiffany,,,,,,,,,,"James B. Keogh (Grovendale), Agent IV ",,,,Clear Ridge Stables,,,,250000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,43,43,The Girl Herself,The Girl Herself,,,5/19/2017,6,B,Mare,,B,,,,American Pharoah,American Pharoah,Circle of Life,Circle of Life,,,,,,,,Justify,5/10/2021,"Four Star Sales, Agent ",,,,Out,,,,0,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,44,44,The Grass Is Blue,The Grass Is Blue,,,2/8/2018,5,CH,Filly,,BRP,,,,Broken Vow,Broken Vow,Shine Softly,Shine Softly,,,,,,,,,,"Taylor Made Sales Agency, Agent CXLI ",,,,Out,,,,0,,,,,T,2018
2021,M,21KEENOV,11/10/2021,1,1,45,45,Thissmytime,Thissmytime,,,4/8/2017,6,B,Filly,,BRP,,,,Carpe Diem,Carpe Diem,Seraphic Too,Seraphic Too,,,,,,,,,,"Warrendale Sales, Agent XXXI ",,,,Stonehaven Steadings,,,,260000,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,46,46,Tonalist's Shape,Tonalist's Shape,,,4/19/2017,6,CH,Filly,,BRP,,,,Tonalist,Tonalist,Hitechnoweenie,Hitechnoweenie,,,,,,,,,,"Eaton Sales, Agent ",,,,S.F. - Newgate Farm,,,,350000,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,47,47,Tapitoro,Tapitoro,,,5/9/2021,2,GR/RO,Colt,,WN,,,,Tapit,Tapit,Torreadora,Torreadora,,,,,,,,,,"Gainesway, Agent XLII ",,,,"R.N.A. (290,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,48,48,Enzi,Enzi,,,3/7/2021,2,B,Filly,,WN,,,,Into Mischief,Into Mischief,Truly Gifted,Truly Gifted,,,,,,,,,,"Paramount Sales, Agent XVIII ",,,,Jim McIngvale,,,,510000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,49,49,Lightline,Lightline,,,4/16/2021,2,B,Colt,,WN,,,,City of Light,City of Light,Upperline,Upperline,,,,,,,,,,"Taylor Made Sales Agency, Agent LXXVII ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,50,50,Upperline,Upperline,,,2/25/2007,16,B,Mare,,B,,,,Maria's Mon,Maria's Mon,Snowflake (IRE),Snowflake (IRE),,,,,,,,Munnings,5/10/2021,"Taylor Made Sales Agency, Agent LXXVII ",,,,"Theta Holdings I, Inc.",,,,85000,,,,,T,2007
2021,M,21KEENOV,11/10/2021,1,1,51,51,Vanquished,Vanquished,,,2/13/2005,18,B,Mare,,B,,,,Empire Maker,Empire Maker,Critical Crew,Critical Crew,,,,,,,,Into Mischief,4/22/2021,"Eaton Sales, Agent ",,,,"Avenue Bloodstock, LLC",,,,450000,,,,,T,2005
2021,M,21KEENOV,11/10/2021,1,1,52,52,Dothraki,Dothraki,,,3/30/2021,2,B    ,Colt,,WN,,,,Into Mischief,Into Mischief,Vanquished,Vanquished,,,,,,,,,,"Eaton Sales, Agent ",,,,Baccari Bloodstock,,,,400000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,53,53,Mitole Vision,Mitole Vision,,,2/17/2021,2,B,Filly,,WN,,,,Mitole,Mitole,Vertical Vision,Vertical Vision,,,,,,,,,,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent X ",,,,Corinne & Bill Heiligbrodt,,,,100000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,54,54,Louis the Champ,Louis the Champ,,,2/5/2021,2,DB/BR,Colt,,WN,,,,Justify,Justify,Victory Party,Victory Party,,,,,,,,,,"Eaton Sales, Agent ",,,,"R.N.A. (190,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,55,55,,,,,4/6/2021,2,B,Colt,,WN,,,,Ghostzapper,Ghostzapper,Volcat,Volcat,,,,,,,,,,"Mulholland Springs, Agent III ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,56,56,Wholelottashakin,Wholelottashakin,,,3/31/2009,14,B,Mare,,B,,,,Scat Daddy,Scat Daddy,Carr Shaker,Carr Shaker,,,,,,,,Tapit,2/27/2021,"Taylor Made Sales Agency, Agent CXXXV ",,,,"R.N.A. (775,000)",,,,,,,,,T,2009
2021,M,21KEENOV,11/10/2021,1,1,57,57,Missouri River,Missouri River,,,2/3/2021,2,GR/RO,Colt,,WN,,,,Arrogate,Arrogate,Wholelottashakin,Wholelottashakin,,,,,,,,,,"Taylor Made Sales Agency, Agent CXXXV ",,,,"R.N.A. (140,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,58,58,Wings of an Angel,Wings of an Angel,,,2/3/2018,5,DB/BR,Filly,,BRP,,,,Quality Road,Quality Road,Wear Red,Wear Red,,,,,,,,,,"Taylor Made Sales Agency, Agent for Fox Hill Farms, Inc. ",,,,"Fred W. Hertrich, III",,,,125000,,,,,T,2018
2021,M,21KEENOV,11/10/2021,1,1,59,59,Yahilwa,Yahilwa,,,5/7/2010,13,B,Mare,,B,,,,Medaglia d'Oro,Medaglia d'Oro,Verbanella,Verbanella,,,,,,,,Improbable,5/9/2021,"Taylor Made Sales Agency, Agent LVIII ",,,,Andrew N. Warren,,,,325000,,,,,T,2010
2021,M,21KEENOV,11/10/2021,1,1,60,60,Zee Drop,Zee Drop,,,4/18/2016,7,CH,Mare,,B,,,,Lemon Drop Kid,Lemon Drop Kid,Ash Zee,Ash Zee,,,,,,,,Medaglia d'Oro,5/6/2021,"ELiTE, Agent ",,,,Gage Hill II & Lanes End Farm,,,,400000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,61,61,Zest,Zest,,,4/29/2016,7,CH,Mare,,B,,,,Tapit,Tapit,Life Is Sweet,Life Is Sweet,,,,,,,,City of Light,3/1/2021,"Lane's End, Agent for Pamela & Martin Wygod (A Major Reduction)",,,,K I Farm,,,,420000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,62,62,Abby Hatcher (IRE),Abby Hatcher (IRE),,,3/5/2017,6,B,Filly,,BRP,,,,Acclamation (GB),Acclamation (GB),Sharqawiyah (GB),Sharqawiyah (GB),,,,,,,,,,"Taylor Made Sales Agency, Agent CLI ",,,,Julian Blaxland,,,,185000,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,63,63,Ahh Chocolate,Ahh Chocolate,,,4/10/2012,11,B,Mare,,B,,,,Candy Ride (ARG),Candy Ride (ARG),Ahh,Ahh,,,,,,,,Tiz the Law,5/11/2021,"Paramount Sales, Agent XVII ",,,,Yushun Company Limited,,,,300000,,,,,T,2012
2021,M,21KEENOV,11/10/2021,1,1,64,64,Amalfi Coast,Amalfi Coast,,,3/2/2016,7,CH,Mare,,BRP,,,,Tapizar,Tapizar,Include Katherine,Include Katherine,,,,,,,,,,"Taylor Made Sales Agency, Agent V ",,,,Tracy Farmer,,,,475000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,65,65,,,,,2/12/2021,2,CH   ,Colt,,WN,,,,Ghostzapper,Ghostzapper,America's Friend,America's Friend,,,,,,,,,,"Valkyre Stud, Agent V ",,,,First Finds,,,,60000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,66,66,Midnight Soiree,Midnight Soiree,,,3/4/2015,8,B,Mare,,B,,,,Include,Include,Casanova Striker,Casanova Striker,,,,,,,,Constitution,3/14/2021,"Warrendale Sales, Agent XIV ",,,,George Barnes for KatieRich Farms,,,,500000,,,,,T,2015
2021,M,21KEENOV,11/10/2021,1,1,67,67,Aunt Hattie (IRE),Aunt Hattie (IRE),,,5/6/2016,7,DB/BR,Mare,,B,,,,Camelot (GB),Camelot (GB),Spring Star (FR),Spring Star (FR),,,,,,,,American Pharoah,3/25/2021,"Warrendale Sales, Agent XLI ",,,,Yushun Company Limited,,,,300000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,68,68,Bajan Girl,Bajan Girl,,,1/31/2017,6,B,Filly,,BP,,,,Speightstown,Speightstown,Dazzling (IRE),Dazzling (IRE),,,,,,,,,,"James B. Keogh (Grovendale), Agent XLV ",,,,Stoneriggs Farm,,,,400000,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,69,69,,,,,2/13/2021,2,B    ,Colt,,WN,,,,Into Mischief,Into Mischief,Bashful Bertie,Bashful Bertie,,,,,,,,,,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent IX ",,,,Tracy Farmer,,,,480000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,70,70,Beau Belle,Beau Belle,,,5/9/2015,8,CH,Mare,,B,,,,Giant's Causeway,Giant's Causeway,Binya (GER),Binya (GER),,,,,,,,Quality Road,3/5/2021,"Denali Stud, Agent XXIX ",,,,Out,,,,0,,,,,T,2015
2021,M,21KEENOV,11/10/2021,1,1,71,71,,,,,1/29/2021,2,B,Colt,,WN,,,,Quality Road,Quality Road,Beauty Parlor,Beauty Parlor,,,,,,,,,,"Hill 'n' Dale Sales Agency, Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,72,72,Life's Joy,Life's Joy,,,4/3/2021,2,DB/BR,Filly,,WN,,,,Mitole,Mitole,Beholden,Beholden,,,,,,,,,,"Taylor Made Sales Agency, Agent LXXVII ",,,,Brookstone Farm,,,,160000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,73,73,,,,,3/26/2021,2,DB/BR,Colt,,WN,,,,Vino Rosso,Vino Rosso,Bending Strings,Bending Strings,,,,,,,,,,"Glennwood Farm Inc., Agent ",,,,"R.N.A. (42,000)",,,,,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,74,74,Dardanelle,Dardanelle,,,3/28/2021,2,B,Filly,,WN,,,,Constitution,Constitution,Bicolour,Bicolour,,,,,,,,,,"Ballysax Bloodstock, Agent for Grantley Acres ",,,,Sewanne Bloodstock,,,,180000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,75,75,Bicolour,Bicolour,,,3/29/2014,9,B,Mare,,B,,,,Tiznow,Tiznow,Burmilla,Burmilla,,,,,,,,Speightstown,4/26/2021,"Ballysax Bloodstock, Agent for Grantley Acres ",,,,"R.N.A. (235,000)",,,,,,,,,T,2014
2021,M,21KEENOV,11/10/2021,1,1,76,76,Bingwa,Bingwa,,,3/27/2016,7,B,Mare,,B,,,,Goldencents,Goldencents,Fancy Deed,Fancy Deed,,,,,,,,Hard Spun,3/19/2021,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,,,Out,,,,0,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,77,77,Into Bloom,Into Bloom,,,5/14/2021,2,B,Filly,,WN,,,,American Pharoah,American Pharoah,Blossom Special (IRE),Blossom Special (IRE),,,,,,,,,,"Glennwood Farm Inc., Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,78,78,Julysaturdaynight,Julysaturdaynight,,,4/10/2021,2,GR/RO,Filly,,WN,,,,Quality Road,Quality Road,Boujie Girl,Boujie Girl,,,,,,,,,,"Lane's End, Agent ",,,,Out,,,,0,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,79,79,Bourbonesque,Bourbonesque,,,5/19/2009,14,B,Mare,,B,,,,Dynaformer,Dynaformer,Rhineland,Rhineland,,,,,,,,Quality Road,5/19/2021,"Claiborne Farm, Agent ",,,,"R.N.A. (485,000)",,,,,,,,,T,2009
2021,M,21KEENOV,11/10/2021,1,1,80,80,Roundtop,Roundtop,,,3/17/2021,2,B,Colt,,WN,,,,War Front,War Front,Bourbonesque,Bourbonesque,,,,,,,,,,"Claiborne Farm, Agent ",,,,Kestrel Thoroughbreds,,,,170000,,,,,T,2021
2021,M,21KEENOV,11/10/2021,1,1,81,81,Bronx Beauty,Bronx Beauty,,,4/12/2015,8,GR/RO,Mare,,BRP,,,,Liaison,Liaison,Forever Sunshine,Forever Sunshine,,,,,,,,,,"Taylor Made Sales Agency, Agent CXXIV ",,,,Breeze Easy,,,,250000,,,,,T,2015
2021,M,21KEENOV,11/10/2021,1,1,82,82,Browse,Browse,,,3/8/2013,10,B,Mare,,B,,,,Medaglia d'Oro,Medaglia d'Oro,Daydreaming,Daydreaming,,,,,,,,Uncle Mo,4/27/2021,"Lane's End, Agent ",,,,George Barnes for KatieRich Farms,,,,350000,,,,,T,2013
2021,M,21KEENOV,11/10/2021,1,1,83,83,Carressa,Carressa,,,2/20/2016,7,B,Mare,,BP,,,,Uncle Mo,Uncle Mo,Iplaytricks,Iplaytricks,,,,,,,,,,"Lane's End, Agent ",,,,"J.S. Company, Limited",,,,150000,,,,,T,2016
2021,M,21KEENOV,11/10/2021,1,1,84,84,Charge It Please,Charge It Please,,,2/20/2017,6,CH,Mare,,B,,,,Will Take Charge,Will Take Charge,Quick Flip,Quick Flip,,,,,,,,Frosted,3/21/2021,"Taylor Made Sales Agency, Agent LIX ",,,,"R.N.A. (170,000)",,,,,,,,,T,2017
2021,M,21KEENOV,11/10/2021,1,1,85,85,Cinnamon Spice,Cinnamon Spice,,,4/10/2011,12,DB/BR,Mare,,B,,,,Candy Ride (ARG),Candy Ride (ARG),Violent Beauty,Violent Beauty,,,,,,,,Constitution,2/19/2021,"Taylor Made Sales Agency, Agent LXXX ",,,,Out,,,,0,,,,,T,2011
