Book,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,Elig,Sire Of Dam
1,1,49,"Taylor Made Sales Agency, Agent LXX ",,Oak Street Beach,,B,Filly,Oak Street Beach,Gun Runner,Lunar Gaze,,,,,Out,0,,
1,1,50,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,Occult,,DB/BR,Filly,Occult,Into Mischief,Magical Feeling,,,,,"Steven W. Young, Agent",625000,,
1,1,51,"Hill 'n' Dale Sales Agency, Agent ",,No More Guns,,DB/BR,Colt,No More Guns,Gun Runner,Magical World,,,,,Out,0,,
1,1,52,"Eaton Sales, Agent ",,Given to Fly (IRE),,CH,Colt,Given to Fly (IRE),No Nay Never,Magic America,,,,,"Fergus Galvin, Agent",160000,,
1,1,53,"Taylor Made Sales Agency, Agent for Town & Country Horse Farms, LLC",,Newgate,,B,Colt,Newgate,Into Mischief,Majestic Presence,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",850000,,
1,1,54,"Betz Thoroughbreds, Inc., Agent ",,Top Runner,,CH   ,Filly,Top Runner,Gun Runner,Maracuya,,,,,"Quarter Pole Enterprises, LLC",230000,,
1,1,55,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,Lost Ark,,B    ,Colt,Lost Ark,Violence,Marion Ravenwood,,,,,"Steven W. Young, Agent",275000,,
1,1,56,"Gainesway, Agent VIII ",,Miss Our Hero,,CH,Filly,Miss Our Hero,Tapit,Market Magic,,,,,"Cheyenne Stables, LLC",320000,,
1,1,57,"Taylor Made Sales Agency, Agent CLV ",,Ready to Connect,,DB/BR,Colt,Ready to Connect,Connect,Mary's Follies,,,,,"R.N.A. (425,000)",---,,
1,1,58,"Clarkland Farm, LLC ",,Ezhalah,,B,Colt,Ezhalah,Mendelssohn,Maybellene,,,,,"R.N.A. (140,000)",---,,
1,1,59,"Betz Thoroughbreds, Inc., Agent ",,Mobster,,B    ,Colt,Mobster,Uncle Mo,Meadow Breeze,,,,,"D.J. Stable, LLC",175000,,
1,1,60,"Hill 'n' Dale Sales Agency, Agent ",,Cantho,,B,Filly,Cantho,Street Sense,Mekong Delta,,,,,Out,0,,
1,1,61,"Taylor Made Sales Agency, Agent XXXVII ",,Beauty Destiny,,B,Filly,Beauty Destiny,Mastery,Metmeyer,,,,,Out,0,,
1,1,62,"Ballysax Bloodstock, Agent V ",,Two Phil's,,CH,Colt,Two Phil's,Hard Spun,Mia Torri,,,,,"R.N.A. (150,000)",---,,
1,1,63,"Hill 'n' Dale Sales Agency, Agent ",,Tag Team,,DB/BR,Filly,Tag Team,Curlin,Midnight Lucky,,,,,Trival Partners,140000,,
1,1,64,"Taylor Made Sales Agency, Agent for WinStar Farm Bred & Raised ",,Fifth Street,,B,Colt,Fifth Street,Quality Road,Milam,,,,,M.V. Magnier,950000,,
1,1,65,"Four Star Sales, Agent ",,Ghost Coast,,DB/BR,Colt,Ghost Coast,Street Sense,Mirapoix,,,,,"F. Brothers, Agt for Starlight & Harrell Ventures",250000,,
1,1,66,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Uncle Mo --- Mir Cat,,B,Colt,,Uncle Mo,Mir Cat,,,,,"West Bldstk, Agt. for Repole Stable & St. Elias",375000,,
1,1,67,"Taylor Made Sales Agency, Agent CLXXVI ",,Lark's Mischief,,B,Colt,Lark's Mischief,Into Mischief,Miss Besilu,,,,,"R.N.A. (450,000)",---,,
1,1,68,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Chelonian,,CH   ,Colt,Chelonian,Gun Runner,Miss Empire,,,,,"Whitehorse, Madaket, E Five Racing",300000,,
1,1,69,"Gainesway, Agent X ",,Mr Empire,,DB/BR,Colt,Mr Empire,Empire Maker,Miss Frost,,,,,Out,0,,
1,1,70,"Mill Ridge Sales, Agent ",,Tall Girl,,CH,Filly,Tall Girl,First Samurai,Miss Singhsix (IRE),,,,,Madras Bloodstock,90000,,
1,1,71,"Baccari Bloodstock, Agent VI ",,O'Conner Sunset,,B,Colt,O'Conner Sunset,Curlin,Miss Sunset,,,,,Out,0,,
1,1,72,"Taylor Made Sales Agency, Agent CXXVIII ",,Prove My Love,,CH,Filly,Prove My Love,Justify,Mo Chuisle,,,,,"Legion Bloodstock, Agent for Fortune Farms",140000,,
1,1,73,"Betz Thoroughbreds, Inc., Agent ",,Limits of Power,,DB/BR,Colt,Limits of Power,Good Magic,Modification,,,,,"Alan Quartucci, Agent",575000,,
1,1,74,"Gainesway, Agent XXXII ",,Working Man,,CH,Colt,Working Man,Tapit,Modify,,,,,Out,0,,
1,1,75,"Paramount Sales, Agent IV ",,Red Pill,,CH,Colt,Red Pill,American Pharoah,Mojgan,,,,,"R.N.A. (145,000)",---,,
1,1,76,"Betz Thoroughbreds, Inc., Agent ",,City of Knowledge,,DB/BR,Colt,City of Knowledge,City of Light,Mo Knows,,,,,"S. R. Schwartz, Agent",100000,,
1,1,77,"Ramsey Farm, Agent ",,Joy Huntress,,B,Filly,Joy Huntress,Kitten's Joy,Money Huntress,,,,,"Mike Ryan, Agent",180000,,
1,1,78,"St George Sales, Agent XXVI ",,Hola Gata,,DB/BR,Filly,Hola Gata,Kitten's Joy,Morakami,,,,,"Bradley Thoroughbreds, Agt. for Rodeo Creek Racing",190000,,
1,1,79,"Lane's End, Agent ",,Carver,,DB/BR,Colt,Carver,Pioneerof the Nile,Morea,,,,,Sapphire Racing,435000,,
1,1,80,"Kaizen Sales (Richard Kent), Agent IV ",,Spun Oats,,B,Filly,Spun Oats,Hard Spun,More Oats Please,,,,,"R.N.A. (115,000)",---,,
1,1,81,"Lane's End, Agent ",,Rochas,,B,Filly,Rochas,Medaglia d'Oro,Moulin de Mougin,,,,,"R.N.A. (435,000)",---,,
1,1,82,"Claiborne Farm, Agent ",,Seal Team (GB),,B,Colt,Seal Team (GB),War Front,Mrs McDougal,,,,,Out,0,,
1,1,83,"Gainesway, Agent XV ",,Wico (IRE),,DB/BR,Colt,Wico (IRE),No Nay Never,Mundus Novus,,,,,Andrew Farm/Richard Brodie,440000,,
1,1,84,"Taylor Made Sales Agency, Agent CLV ",,Maclean's Rhyme,,B,Colt,Maclean's Rhyme,Maclean's Music,Mystic Rhyme,,,,,China Horse Club / Gandharvi Racing,325000,,
1,1,85,"Penn Sales, Agent for Alex Venneri ",,Carrizo Springs,,B,Colt,Carrizo Springs,Mastery,My Tina,,,,,Mike G. Rutherford,150000,,
1,1,86,"Claiborne Farm, Agent ",,Carla,,DB/BR,Filly,Carla,Medaglia d'Oro,Naples Princess,,,,,"Donato Lanni,Agt for M.Petersen&Willow Grace Farm",950000,,
1,1,87,"Hunter Valley Farm, Agent ",,Quality Art,,B,Colt,Quality Art,Quality Road,Nereid,,,,,"R.N.A. (300,000)",---,,
1,1,88,"Ballysax Bloodstock, Agent for Grantley Acres ",,Modernize Queen,,CH,Filly,Modernize Queen,Distorted Humor,Never Grow Old,,,,,Yoshio Oda,180000,,
1,1,89,"Paramount Sales, Agent LIII ",,Evergrande,,DB/BR,Filly,Evergrande,Uncle Mo,Nikki's Choice,,,,,Courtlandt Farm,1100000,,
1,1,90,"Denali Stud, Agent VII ",,Aperta,,CH,Filly,Aperta,Curlin,Noble and a Beauty,,,,,"R.N.A. (240,000)",---,,
1,1,91,"South Point Sales Agency, Agent V ",,Soft Pants,,DB/BR,Colt,Soft Pants,Mendelssohn,No Lip Service,,,,,Emil Cerullo,150000,,
1,1,92,"Denali Stud, Agent X ",,Northern Jewel,,DB/BR,Colt,Northern Jewel,Kitten's Joy,Northern Station,,,,,Out,0,,
1,1,93,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,Dona Sweat,,B,Filly,Dona Sweat,Justify,No Sweat,,,,,"J.S. Company, Limited",425000,,
1,1,94,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,Bayou Justice,,B,Colt,Bayou Justice,Justify,Noted and Quoted,,,,,Lynnhaven Racing,400000,,
1,1,95,"Denali Stud, Agent XL ",,Ode to War,,DB/BR,Colt,Ode to War,War Front,Odeliz (IRE),,,,,Peter Kirwan,100000,,
1,1,96,"Blake-Albina Thoroughbred Services LLC, Agent I ",,Lartigue,,CH,Colt,Lartigue,Tapit,Off the Tracks,,,,,Out,0,,
1,1,97,"Candy Meadows Sales, Agent I ",,American Only,,B,Colt,American Only,American Pharoah,Only by the Night,,,,,Joe Navarro c/o Ranch 007,100000,,
1,1,98,"Anderson Farms, Agent ",,King Elvis,,DB/BR,Colt,King Elvis,Medaglia d'Oro,Orchard Beach,,,,,"R.N.A. (495,000)",---,,
1,1,99,Blue Heaven Farm ,,Pyrenees,,B,Colt,Pyrenees,Into Mischief,Our Khrysty,,,,,Out,0,,
1,1,100,"Castle Park Farm LLC (Noel Murphy), Agent XIV ",,Supernova,,DB/BR,Colt,Supernova,Mendelssohn,Our Maria Celeste,,,,,"Oracle Bloodstock, Agent for Gargan Racing",150000,,
1,1,101,"Taylor Made Sales Agency, Agent LXXVII ",,Jace's Road,,B,Colt,Jace's Road,Quality Road,Out Post,,,,,Albaugh Family/West Point Thoroughbreds,510000,,
1,1,102,"Vinery Sales, Agent for Haymarket Farm LLC ",,Hurricane J,,DB/BR,Colt,Hurricane J,Nyquist,Pantanal,,,,,Elliott/McElroy for AMO Racing USA LLC,330000,,
1,1,103,"Paramount Sales, Agent LXIX ",,Milan Mischief,,B,Filly,Milan Mischief,Into Mischief,Pay Attention,,,,,"Albaugh Family/Barry Berkelhammer, Agent",440000,,
1,1,104,"Gainesway, Agent X ",,Signator,,GR/RO,Colt,Signator,Tapit,Pension,,,,,Out,0,,
1,1,105,"Mulholland Springs, Agent II ",,Micro Start,,B,Filly,Micro Start,Justify,Peppy Rafaela,,,,,"R.N.A. (285,000)",---,,
1,1,106,"South Point Sales Agency, Agent XXI ",,Spinning Musician,,B,Colt,Spinning Musician,Hard Spun,Perfect Note,,,,,Out,0,,
1,1,107,Dixiana Farms LLC ,,Just a Photo,,DB/BR,Colt,Just a Photo,Justify,Photographer,,,,,"R.N.A. (285,000)",---,,
1,1,108,"Taylor Made Sales Agency, Agent CXXVII ",,Commander of War,,B,Colt,Commander of War,War Front,Pine Needles,,,,,Avenue Bloodstock,170000,,
1,1,109,"Taylor Made Sales Agency, Agent XLVIII ",,And Change,,B,Filly,And Change,Street Sense,Pioneer Queen,,,,,"Steven W. Young, Agent",280000,,
1,1,110,"Gainesway, Agent VIII ",,Arthur's Ride,,GR/RO,Colt,Arthur's Ride,Tapit,Points of Grace,,,,,"Donato Lanni, Agent",250000,,
1,1,111,"Four Star Sales, Agent for Westbury Stables ",,Ready for Diamonds,,CH   ,Colt,Ready for Diamonds,More Than Ready,Polish a Diamond,,,,,"Jesse Hoppel, Agent",150000,,
1,1,112,"Hidden Brook, Agent for Bonne Chance Farm, LLC ",,Nitro Brew,,B,Colt,Nitro Brew,Medaglia d'Oro,Pretty Girl (ARG),,,,,"R.N.A. (240,000)",---,,
1,1,113,"Taylor Made Sales Agency, Agent for Town & Country Horse Farms, LLC",,With You Know Who,,DB/BR,Filly,With You Know Who,Quality Road,Pretty Perfect (IRE),,,,,John Sondereker,350000,,
1,1,114,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,Rapacious,,B,Colt,Rapacious,Into Mischief,Princess La Quinta,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",400000,,
1,1,115,"Taylor Made Sales Agency, Agent XCVI ",,Max Hodgepodge,,GR/RO,Colt,Max Hodgepodge,Frosted,Pure Elation,,,,,"R.N.A. (70,000)",---,,
1,1,116,"Taylor Made Sales Agency, Agent CXVII ",,Propellant,,B,Colt,Propellant,Into Mischief,Quality Way,,,,,Winchell Thoroughbreds LLC,700000,,
1,1,117,"Claiborne Farm, Agent ",,Thutmose,,B,Colt,Thutmose,War Front,Queen Nefertiti (IRE),,,,,"R.N.A. (235,000)",---,,
1,1,118,"Lane's End, Agent ",,Queen's Garden,,B,Filly,Queen's Garden,Quality Road,Queen's Parade,,,,,"R.N.A. (235,000)",---,,
1,1,119,"Brookdale Sales, Agent for Hardacre Farm LLC ",,Medaglia d'Oro --- Ready Signal,,DB/BR,Colt,,Medaglia d'Oro,Ready Signal,,,,,de Meric Sales,285000,,
1,1,120,"Machmer Hall Sales, Agent for Machmer Hall ",,Roja Ligera,,B,Filly,Roja Ligera,City of Light,Redbud,,,,,Waves Bloodstock,155000,,
1,1,121,Mt. Brilliant Farm ,,Waltz On By,,B,Filly,Waltz On By,Uncle Mo,Redwood Dancer,,,,,Tracy Farmer,310000,,
1,1,122,"Lane's End, Agent ",,Relay,,DB/BR,Filly,Relay,Honor Code,Rehear,,,,,Out,0,,
1,1,123,"Mulholland Springs, Agent ",,Tulsan,,B,Colt,Tulsan,Into Mischief,Reina Maria,,,,,Out,0,,
1,1,124,"Lane's End, Agent ",,Code Name,,CH,Colt,Code Name,Noble Mission (GB),Reunion,,,,,Out,0,,
1,1,125,"Taylor Made Sales Agency, Agent CLV ",,Upper Case,,B,Filly,Upper Case,American Pharoah,Rigged Smart,,,,,"R.N.A. (725,000)",---,,
1,1,126,"Gainesway, Agent XXII ",,Firedancer,,B,Colt,Firedancer,Curlin,Rigoletta,,,,,Out,0,,
1,1,127,"Denali Stud, Agent for Stonestreet Bred & Raised ",,Willakenzie,,B,Colt,Willakenzie,War Front,Road to Victory,,,,,"R.N.A. (575,000)",---,,
1,1,128,"Machmer Hall Sales, Agent for WinStar Farm Bred & Raised ",,Parody,,B,Filly,Parody,Distorted Humor,Rockster,,,,,"R.N.A. (235,000)",---,,
1,1,129,"Claiborne Farm, Agent ",,Silver Ticket,,GR/RO,Filly,Silver Ticket,Curlin,Royal Obsession,,,,,"West Bloodstock, Agent for Robert & Lawana Low",450000,,
1,1,130,"Gainesway, Agent XXXV ",,Jovian,,B,Colt,Jovian,Justify,Runway Doll,,,,,Out,0,,
1,1,131,"St George Sales, Agent X ",,War Front --- Sailor's Valentine,,B,Colt,,War Front,Sailor's Valentine,,,,,Out,0,,
1,1,132,"Lane's End, Agent ",,Safiri,,B,Filly,Safiri,Tapit,Salty,,,,,Out,0,,
1,1,133,"Bluewater Sales LLC, Agent VII ",,Golden Mic,,CH,Colt,Golden Mic,Justify,Sambuca Classica,,,,,Hideyuki Mori,625000,,
1,1,134,"Eaton Sales, Agent ",,Bandon,,DB/BR,Colt,Bandon,Speightstown,Sansibar Jewel,,,,,China Horse Club / Gandharvi Racing,500000,,
1,1,135,"Paramount Sales, Agent XXXII ",,Iguazu (IRE),,B,Filly,Iguazu (IRE),Zoffany (IRE),San Sicharia (IRE),,,,,"Stripes Stable, LLC",150000,,
1,1,136,"Gainesway, Agent XV ",,Just Say So,,B,Filly,Just Say So,War Front,Say (IRE),,,,,"Green Lantern Stables, LLC/Patrick Masson, Agent",300000,,
1,1,137,"Lane's End, Agent ",,Ghost Lion,,GR/RO,Colt,Ghost Lion,Kitten's Joy,Schiaparelli,,,,,"R.N.A. (475,000)",---,,
1,1,138,"Taylor Made Sales Agency, Agent LXIV ",,Seattleite,,DB/BR,Colt,Seattleite,Candy Ride (ARG),Seattle's Best,,,,,"R.N.A. (140,000)",---,,
1,1,139,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,Secrecy,,B    ,Filly,Secrecy,Uncle Mo,Secret,,,,,"R.N.A. (185,000)",---,,
1,1,140,"Bluewater Sales LLC, Agent IV ",,Mo Shiro,,B,Filly,Mo Shiro,Uncle Mo,See Ya Signe,,,,,Susan Naylor Sellers,200000,,
1,1,141,"Hill 'n' Dale Sales Agency, Agent ",,Gran Caballo,,B,Colt,Gran Caballo,American Pharoah,Shell House (IRE),,,,,"R.N.A. (235,000)",---,,
1,1,142,"Paramount Sales, Agent XLVII ",,Big Commerce,,DB/BR,Colt,Big Commerce,Justify,She's a Warrior,,,,,Tom Durant,435000,,
1,1,143,"Gainesway, Agent XXVI ",,Alula Princess,,GR/RO,Filly,Alula Princess,Tapwrit,Sheza Smoke Show,,,,,"R.N.A. (685,000)",---,,
1,1,144,"Woodford Thoroughbreds, Agent I ",,Sunday Shoes,,B,Filly,Sunday Shoes,Pioneerof the Nile,Silvertoni,,,,,"Lael Stable, Michael Hernon, Agent",500000,,
1,1,145,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Silver Heist,,GR/RO,Colt,Silver Heist,Tapit,Silvery Starlet,,,,,"R.N.A. (475,000)",---,,
1,1,146,"Machmer Hall Sales, Agent for Machmer Hall ",,Shade,,B    ,Filly,Shade,Street Sense,Simply Sunny,,,,,"F. Brothers, Agent & Solis/Litt",500000,,
1,1,147,"Taylor Made Sales Agency, Agent for JSM Equine LLC ",,Air Tesoro,,B,Filly,Air Tesoro,Uncle Mo,Singwiththebirds,,,,,Out,0,,
1,1,148,"Taylor Made Sales Agency, Agent VII ",,Sippican Shop,,B,Colt,Sippican Shop,Medaglia d'Oro,Sippican Harbor,,,,,Out,0,,
1,1,149,"Four Star Sales, Agent ",,Aunt Becca,,DB/BR,Filly,Aunt Becca,Uncle Mo,Skipped,,,,,Out,0,,
1,1,150,"Kaizen Sales (Richard Kent), Agent II ",,Quadra Island,,CH,Colt,Quadra Island,Kitten's Joy,Sky Walk,,,,,"R.N.A. (95,000)",---,,
1,1,151,"Machmer Hall Sales, Agent XXIII ",,Benton Crossing,,DB/BR,Colt,Benton Crossing,Nyquist,Smart 'n Special,,,,,Out,0,,
1,1,152,"Brookdale Sales, Agent for Audley Farm Equine LLC ",,Sweet Track,,B,Filly,Sweet Track,Uncle Mo,Smiling Causeway,,,,,Out,0,,
1,1,153,"Betz Thoroughbreds, Inc., Agent ",,Crimson Marshall,,B    ,Colt,Crimson Marshall,American Pharoah,Smooth Performer,,,,,"Kim Valerio, Agent for D.J. Stables",150000,,
1,1,154,"Claiborne Farm, Agent ",,Networking,,B,Colt,Networking,Speightstown,Social Queen,,,,,"R.N.A. (375,000)",---,,
1,1,155,"Eaton Sales, Agent ",,Devilment,,B,Colt,Devilment,Into Mischief,Soot Z,,,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",325000,,
1,1,156,"Paramount Sales, Agent LXXIII ",,Soultitlesready,,DB/BR,Filly,Soultitlesready,More Than Ready,Soul Title,,,,,"R.N.A. (70,000)",---,,
1,1,157,"Lane's End, Agent ",,Ride of Her Life,,CH,Filly,Ride of Her Life,Candy Ride (ARG),Spanish Harlem,,,,,Out,0,,
1,1,158,"Hunter Valley Farm, Agent ",,Brees,,B,Colt,Brees,Flatter,Speedy War,,,,,Courtlandt Farm,325000,,
1,1,159,"Claiborne Farm, Agent ",,Power Lunch,,B,Filly,Power Lunch,Into Mischief,Stanwyck,,,,,"James Delahooke, Agt for B.Flay Thoroughbreds",425000,,
1,1,160,"Paramount Sales, Agent XXXI ",,Moon Rose,,DB/BR,Filly,Moon Rose,Malibu Moon,Starry Rose,,,,,Out,0,,
1,1,161,"Baccari Bloodstock, Agent XIV ",,Sorakarano Chikara,,GR/RO,Colt,Sorakarano Chikara,Justify,Stayclassysandiego,,,,,Hideyuki Mori,950000,,
1,1,162,Stonehaven Steadings ,,Steelin Memories,,B,Filly,Steelin Memories,Quality Road,Steelin',,,,,Out,0,,
1,1,163,"Gainesway, Agent VIII ",,Tap Your Heart,,CH,Colt,Tap Your Heart,Tapit,Steidle,,,,,Out,0,,
