Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0018,"Gainesway, Agent IX ","","Bees and Honey","03/13/2018","CH",Filly,"Bees and Honey","Union Rags","Wickedly Smart","","","","Racing or Broodmare Prospect","Oxo Equine LLC",925000
1,0019,"Four Star Sales, Agent for Westbury Stables ","","Believe in Charlie","01/29/2010","B",Mare,"Believe in Charlie","Indian Charlie","Zehoorr","Not This Time","04/26/2022","pregnant","Broodmare","Out",0
1,0020,"Four Star Sales, Agent for Westbury Stables ","","Tiz the Law --- Believe in Charlie","03/24/2022","B",Colt,"","Tiz the Law","Believe in Charlie","","","","Weanling","Out",0
1,0021,"Taylor Made Sales Agency, Agent CXVI ","","Reiwa Epoch","02/24/2022","B",Filly,"Reiwa Epoch","Mendelssohn","Birdie Gold","","","","Weanling","Out",0
1,0022,"Four Star Sales, Agent ","","Blackheartedgypsy","03/19/2019","B",Mare,"Blackheartedgypsy","Speightster","Starship Warpspeed","Authentic","04/29/2022","pregnant","Broodmare","Whisper Hill Farm LLC",350000
1,0023,"Hunter Valley Farm, Agent ","","Justify --- Blossomed","02/10/2022","B",Colt,"","Justify","Blossomed","","","","Weanling","Tom McGreevy, Agent",350000
1,0024,"Paramount Sales, Agent XIV ","","Call Me Candy","03/21/2018","B",Mare,"Call Me Candy","Candy Ride (ARG)","Habiboo","Charlatan","02/19/2022","pregnant","Broodmare","Mick Wallace, Agent for Gandharvi",475000
1,0025,"Taylor Made Sales Agency, Agent CLVI ","","Candace O","04/17/2018","B",Filly,"Candace O","Declaration of War","That Voodoo Youdo","","","","Racing or Broodmare Prospect","Nicoma, Agt/JLM Estates Pty Ltd/Milburn Creek Stud",160000
1,0026,"Hill 'n' Dale at Xalapa, Agent ","","Champagne Justice","05/25/2022","GR/RO",Colt,"Champagne Justice","Justify","Champagne Royale","","","","Weanling","Brady Bloodstock",250000
1,0027,"Taylor Made Sales Agency, Agent XLVI ","","Munnings --- Chausie","03/23/2022","DB/BR",Filly,"","Munnings","Chausie","","","","Weanling","Woodford Thoroughbreds LLC",190000
1,0028,"Taylor Made Sales Agency, Agent III ","","Cheerupsleepyjean (FR)","02/11/2019","B",Filly,"Cheerupsleepyjean (FR)","Starspangledbanner (AUS)","Time Will Tell (FR)","","","","Racing or Broodmare Prospect","Badgers Bloodstock",270000
1,0029,"Greenfield Farms, Agent X ","","Cheetara (CHI)","08/23/2017","CH",Mare,"Cheetara (CHI)","Daddy Long Legs","Frescura Total (CHI)","","","","Racing or Broodmare Prospect","R.N.A. (240,000)",---
1,0030,"Burleson Farms, Agent ","","Clear the Clouds","04/29/2015","DB/BR",Mare,"Clear the Clouds","Ghostzapper","Tizamazing","Charlatan","05/23/2022","pregnant","Broodmare","R.N.A. (140,000)",---
1,0031,"Four Star Sales, Agent ","","Comedic","04/30/2019","DB/BR",Mare,"Comedic","Practical Joke","Goforitmrsmiller","Munnings","04/06/2022","pregnant","Broodmare","Old Tavern Farm / Walt Borisenok",180000
1,0032,"Eaton Sales, Agent ","","Uncle Mo --- Corderosa","02/03/2022","B",Colt,"","Uncle Mo","Corderosa","","","","Weanling","Out",0
1,0033,"Royal Oak Farm (Damian & Braxton Lynch), Agent for BBN Racing","","Core Values","05/10/2018","B",Filly,"Core Values","Honor Code","Sweet Awakening","","","","Racing or Broodmare Prospect","Pin Oak Stud",425000
1,0034,"Taylor Made Sales Agency, Agent XI ","","Cougarstown","04/21/2008","B",Mare,"Cougarstown","Speightstown","Fair Apache","Not This Time","03/15/2022","pregnant","Broodmare","Donaldson Bloodstock",115000
1,0035,"Eaton Sales, Agent ","","Uncle Mo --- Cry and Catch Me","04/05/2022","DB/BR",Colt,"","Uncle Mo","Cry and Catch Me","","","","Weanling","AAA Thoroughbreds",175000
1,0036,"Hill 'n' Dale at Xalapa, Agent ","","Curvy Road","02/14/2019","B",Mare,"Curvy Road","Quality Road","Curvy (GB)","Uncle Mo","03/01/2022","pregnant","Broodmare","St. George Stables, LLC",250000
1,0037,"Claiborne Farm, Agent ","","Danceland","05/21/2014","B",Mare,"Danceland","Tapit","Wonder Woman","War Front","05/20/2022","pregnant","Broodmare","Out",0
1,0038,"Claiborne Farm, Agent ","","Dancing Class","02/14/2019","B",Mare,"Dancing Class","Orb","Party Now","Good Magic","04/01/2022","pregnant","Broodmare","Fred W. Hertrich, III",130000
1,0039,"Hill 'n' Dale at Xalapa, Agent ","","American Pharoah --- Deceptive Vision","03/06/2022","B    ",Colt,"","American Pharoah","Deceptive Vision","","","","Weanling","Albaugh Family Stables",150000
1,0040,"Hill 'n' Dale at Xalapa, Agent ","","Black Sails","03/21/2022","DB/BR",Colt,"Black Sails","Ghostzapper","Desert Isle","","","","Weanling","R.N.A. (150,000)",---
1,0041,"Bluewater Sales LLC, Agent VI ","","Diamond Sparkles","01/15/2017","B",Mare,"Diamond Sparkles","War Front","Diamondsandrubies (IRE)","Quality Road","05/11/2022","pregnant","Broodmare","Pin Oak Stud",500000
1,0042,"Hill 'n' Dale at Xalapa, Agent ","","Discern","05/15/2017","GR/RO",Mare,"Discern","Tapit","Lacadena","Uncle Mo","04/26/2022","pregnant","Broodmare","Out",0
1,0043,"Bluewater Sales LLC, Agent XXI ","","Divine Huntress","05/17/2019","B",Filly,"Divine Huntress","Divining Rod","Thrill Seeker","","","","Racing or Broodmare Prospect","Out",0
1,0044,"Burleson Farms, Agent ","","Not This Time --- Dream Your Dreams","03/08/2022","CH   ",Filly,"","Not This Time","Dream Your Dreams","","","","Weanling","Albaugh Family Stables",200000
1,0045,"Claiborne Farm, Agent ","","Durable Goods","02/08/2013","B",Mare,"Durable Goods","Medaglia d'Oro","Divalarious","War Front","05/08/2022","pregnant","Broodmare","Out",0
1,0046,"Hill 'n' Dale at Xalapa, Agent ","","Avery's Dream","01/16/2022","DB/BR",Filly,"Avery's Dream","War Front","Eileen's Dream","","","","Weanling","W. Harvey Sparkman / Eric Reed, Agent",100000
1,0047,"Four Star Sales, Agent ","","Elizabethan","03/31/2018","B",Mare,"Elizabethan","War Front","Misty For Me (IRE)","American Pharoah","03/09/2022","pregnant","Broodmare","Diamond Creek Farm",600000
1,0048,"Eaton Sales, Agent ","","Bolt d'Oro --- Elusive Champagne","04/01/2022","B",Filly,"","Bolt d'Oro","Elusive Champagne","","","","Weanling","Chestnut Valley Farm",80000
1,0049,"Lane's End, Agent ","","Enola Gay","04/06/2017","B",Mare,"Enola Gay","Uncle Mo","Dakota Queen","Liam's Map","03/08/2022","pregnant","Broodmare","Mr. Masa Otani",250000
1,0050,"Glennwood Farm Inc., Agent ","","Mama Tried","02/28/2022","DB/BR",Colt,"Mama Tried","Uncle Mo","Fair Huntress","","","","Weanling","Eurowest Bloodstock ",150000
1,0051,"Bluegrass Thoroughbred Services Inc., Agent I ","","Miss Clavel","02/19/2022","B    ",Filly,"Miss Clavel","Justify","Fashion Royalty (GB)","","","","Weanling","Ce Ce Stables",310000
1,0052,"Bluegrass Thoroughbred Services Inc., Agent I ","","Fashion Royalty (GB)","04/30/2017","DB/BR",Mare,"Fashion Royalty (GB)","War Front","Royal Decree","Liam's Map","04/12/2022","pregnant","Broodmare","Natalma",250000
1,0053,"Candy Meadows Sales, Agent XVIII ","","Feeling Mischief","04/28/2018","B",Filly,"Feeling Mischief","Into Mischief","True Feelings","","","","Racing or Broodmare Prospect","Hugo Merry Bloodstock",625000
1,0054,"Valkyre Stud, Agent IV ","","Street Sense --- Film Idol","03/18/2022","B    ",Colt,"","Street Sense","Film Idol","","","","Weanling","Candy Meadows LLC",220000
1,0055,"Claiborne Farm, Agent ","","Final Belle","02/12/2018","B",Filly,"Final Belle","Uncle Mo","Lemon Belle","","","","Racing or Broodmare Prospect","Peter Wilson",30000
1,0056,"Taylor Made Sales Agency, Agent CIV ","","Flashpackinbarbie","05/08/2016","B",Mare,"Flashpackinbarbie","Munnings","Mighty Eros","Yaupon","04/14/2022","pregnant","Broodmare","Dixiana Farms",230000
1,0057,"Taylor Made Sales Agency, Agent CIV ","","Ghostzapper --- Flashpackinbarbie","03/21/2022","B",Filly,"","Ghostzapper","Flashpackinbarbie","","","","Weanling","Dixiana Farms",120000
1,0058,"ELiTE, Agent ","","Flighty Lady (IRE)","01/08/2017","B",Mare,"Flighty Lady (IRE)","Sir Percy (GB)","Airfield (GB)","","","","Racing or Broodmare Prospect","Out",0
1,0059,"Lane's End, Agent ","","Follow the Flag","05/26/2017","GR/RO",Mare,"Follow the Flag","Tapit","Mushka","Quality Road","02/28/2022","pregnant","Broodmare","Thirty Year Farm",700000
1,0060,"Paramount Sales, Agent VII ","","Pharoah's Dynasty","03/15/2022","B",Colt,"Pharoah's Dynasty","American Pharoah","Funfair","","","","Weanling","Out",0
1,0061,"Bluegrass Thoroughbred Services Inc., Agent VII ","","Gal Wonder (GB)","02/24/2018","B",Filly,"Gal Wonder (GB)","Galileo (IRE)","J Wonder","","","","Racing or Broodmare Prospect","BBA Ireland",360000
1,0062,"Hill 'n' Dale at Xalapa, Agent ","","Goodyearforroses (IRE)","03/15/2012","B",Mare,"Goodyearforroses (IRE)","Azamour (IRE)","Guilia (GB)","War Front","03/13/2022","pregnant","Broodmare","Town & Country Horse Farms, LLC",50000
1,0063,"Gainesway, Agent IX ","","Quickick","03/19/2022","B    ",Filly,"Quickick","McKinzie","Graeme Six","","","","Weanling","Whisper Hill Farm LLC",275000
1,0064,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ","","Happy Success","04/07/2018","DB/BR",Mare,"Happy Success","Bernardini","Speed Succeeds","Liam's Map","05/14/2022","pregnant","Broodmare","R. G. Sikura, Agent",170000
1,0065,"Taylor Made Sales Agency, Agent CXLII ","","Misleading","03/10/2022","B",Filly,"Misleading","Not This Time","Heart of Paradise","","","","Weanling","Stonehaven Steadings",270000
1,0066,"Hill 'n' Dale at Xalapa, Agent ","","Heavenly Tap","04/04/2013","B",Mare,"Heavenly Tap","Tapit","Enhancing","Charlatan","05/17/2022","pregnant","Broodmare","Sun Valley Farm",45000
1,0067,"Hill 'n' Dale at Xalapa, Agent ","","Prize Ghost","04/25/2022","DB/BR",Filly,"Prize Ghost","Ghostzapper","Heavenly Tap","","","","Weanling","Out",0
1,0068,"Lane's End, Agent ","","High Opinion","04/23/2017","DB/BR",Mare,"High Opinion","Lemon Drop Kid","More Respect","","","","Racing or Broodmare Prospect","Determined Stud & Gage Hill",400000
1,0069,"Taylor Made Sales Agency, Agent CLVII ","","Hippie Cowgirl","05/15/2018","B",Filly,"Hippie Cowgirl","Not This Time","Dream of Summer","","","","Broodmare Prospect","Natalma",340000
1,0070,"Legacy Bloodstock, Agent XXVI ","","Stars and Strides","01/23/2022","B",Colt,"Stars and Strides","American Pharoah","Holiday Blues","","","","Weanling","Big Bear Bloodstock",160000
1,0071,"Taylor Made Sales Agency, Agent LXXI ","","Rowayton --- Holiday Diva","04/07/2022","B",Filly,"","Rowayton","Holiday Diva","","","","Weanling","Out",0
1,0072,"Gainesway, Agent XIX ","","Honest Intentions","03/08/2018","GR/RO",Mare,"Honest Intentions","Honor Code","Fame and Fortune","McKinzie","04/30/2022","pregnant","Broodmare","Out",0
1,0073,"Bluewater Sales LLC, Agent III ","","Hot and Sultry","03/09/2019","DB/BR",Filly,"Hot and Sultry","Speightster","Hot Water","","","","Racing or Broodmare Prospect","Out",0
1,0074,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent for Hat Creek Racing","","Illegal Smile (IRE)","04/30/2018","B",Filly,"Illegal Smile (IRE)","Camacho (GB)","Fine If (IRE)","","","","Racing or Broodmare Prospect","Badgers Bloodstock",320000
1,0075,"Taylor Made Sales Agency, Agent CLII ","","Impassioned","02/16/2019","B",Mare,"Impassioned","Quality Road","Cuff (IRE)","Uncle Mo","04/03/2022","pregnant","Broodmare","R.N.A. (575,000)",---
1,0076,"Taylor Made Sales Agency, Agent XVI ","","In a Jif","03/20/2010","B",Mare,"In a Jif","Saintly Look","Damie's Peanut","Not This Time","05/07/2022","pregnant","Broodmare","Out",0
1,0077,"Burleson Farms, Agent ","","Infraction","04/21/2015","CH",Mare,"Infraction","Tapit","Andujar","Street Sense","05/09/2022","pregnant","Broodmare","Steven W. Young, Agent",600000
1,0078,"Burleson Farms, Agent ","","Aqueous","04/09/2022","B    ",Colt,"Aqueous","Omaha Beach","Infraction","","","","Weanling","R.N.A. (175,000)",---
1,0079,"Glennwood Farm Inc., Agent ","","Susie Q Connection","05/01/2022","CH   ",Filly,"Susie Q Connection","Vino Rosso","Inside Passage","","","","Weanling","R.N.A. (55,000)",---
1,0080,"Claiborne Farm, Agent ","","Italia","04/29/2016","B",Mare,"Italia","Medaglia d'Oro","Wilshewed","Street Sense","03/27/2022","pregnant","Broodmare","Fred W. Hertrich, III",185000
1,0081,"Taylor Made Sales Agency, Agent CXV ","","Munnings --- Jade d'Oro","03/26/2022","B",Filly,"","Munnings","Jade d'Oro","","","","Weanling","R.N.A. (190,000)",---
1,0082,"Taylor Made Sales Agency, Agent CXV ","","Jade d'Oro","02/19/2017","B",Mare,"Jade d'Oro","Medaglia d'Oro","African Jade","Charlatan","04/20/2022","pregnant","Broodmare","Out",0
1,0083,"Mulholland Springs, Agent VII ","","Authentic --- Jeannie S","01/25/2022","B",Colt,"","Authentic","Jeannie S","","","","Weanling","Out",0
1,0084,"Eaton Sales, Agent ","","Kallio","03/11/2015","B",Mare,"Kallio","Scat Daddy","Smokey Diplomacy","Gun Runner","03/27/2022","pregnant","Broodmare","Out",0
1,0085,"Warrendale Sales, Agent XLVIII ","","Katherine Marie","02/09/2019","B",Mare,"Katherine Marie","Into Mischief","Storm Dixie","American Pharoah","03/07/2022","pregnant","Broodmare","Out",0
1,0086,"Taylor Made Sales Agency, Agent LXXVIII ","","Kaylasaurus","05/03/2016","DB/BR",Mare,"Kaylasaurus","Munnings","Five Diamonds","","","","Racing or Broodmare Prospect","Nicoma, Agt/JLM Estates Pty Ltd/Milburn Creek Stud",270000
1,0087,"Valkyre Stud, Agent V ","","Makin Aiken","03/24/2022","B    ",Filly,"Makin Aiken","War of Will","Keira","","","","Weanling","Susan Moulton",45000
1,0088,"ELiTE, Agent ","","King's Harlequin (IRE)","04/15/2018","B",Filly,"King's Harlequin (IRE)","Camelot (GB)","Swift Action (IRE)","","","","Racing or Broodmare Prospect","Out",0
1,0089,"Taylor Made Sales Agency, Agent CXXXV ","","Lady Edith","04/03/2018","CH",Filly,"Lady Edith","Street Boss","Lady Grantham","","","","Racing or Broodmare Prospect","Out",0
1,0090,"Legacy Bloodstock, Agent VI ","","Power Connection","02/25/2022","DB/BR",Filly,"Power Connection","Authentic","Lady Leftennant","","","","Weanling","Brookstone Farm",200000
1,0091,"ELiTE, Agent ","","Lemista (IRE)","01/12/2017","DB/BR",Mare,"Lemista (IRE)","Raven's Pass","Shortmile Lady (IRE)","","","","Racing or Broodmare Prospect","Out",0
1,0092,"Glennwood Farm Inc., Agent ","","American Pharoah --- Lilies So Fair","02/13/2022","CH   ",Filly,"","American Pharoah","Lilies So Fair","","","","Weanling","R.N.A. (90,000)",---
1,0093,"Legacy Bloodstock, Agent XXIV ","","Candy Ride (ARG) --- Lion's Terms","02/05/2022","DB/BR",Filly,"","Candy Ride (ARG)","Lion's Terms","","","","Weanling","Sonny Stokes / Hoby Kight, Agent",130000
1,0094,"Taylor Made Sales Agency, Agent CV ","","Liquorice Marilyn","02/12/2016","DB/BR",Mare,"Liquorice Marilyn","Candy Ride (ARG)","Kayce Ace","Not This Time","05/27/2022","pregnant","Broodmare","Fred W. Hertrich, III",150000
1,0095,"Glennwood Farm Inc., Agent ","","Pyromania","03/31/2022","DB/BR",Colt,"Pyromania","Daredevil","London Mist","","","","Weanling","R.N.A. (40,000)",---
1,0096,"Hill 'n' Dale at Xalapa, Agent ","","Lora Padora (IRE)","04/03/2017","B",Mare,"Lora Padora (IRE)","Frankel (GB)","Onshore (GB)","Justify","03/06/2022","pregnant","Broodmare","BBA Ireland",260000
1,0097,"Hill 'n' Dale at Xalapa, Agent ","","Something Stronger","02/01/2022","B",Filly,"Something Stronger","Justify","Lora Padora (IRE)","","","","Weanling","Peter Pugh, Agent for Cherry Knoll Farm",190000
1,0098,"Gainesway, Agent IX ","","Pretty Capable","01/22/2022","CH",Colt,"Pretty Capable","Tapit","Love On the Run","","","","Weanling","Out",0
1,0099,"Hill 'n' Dale at Xalapa, Agent ","","Curlin --- Love the Chase","05/23/2022","CH   ",Colt,"","Curlin","Love the Chase","","","","Weanling","Long Run Stable",225000
1,0100,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for the Executors of Dr. Catherine Wills","","Luck Money","04/25/2017","DB/BR",Mare,"Luck Money","Lookin At Lucky","Flagrant","","","","Racing or Broodmare Prospect","Shimokobe Farm / Polo Green Stable, Agent",360000
1,0101,"Taylor Made Sales Agency, Agent LXXXII ","","Munnings --- Magic Mischief","02/28/2022","DB/BR",Filly,"","Munnings","Magic Mischief","","","","Weanling","Bolter Bloodstock",230000
1,0102,"Hill 'n' Dale at Xalapa, Agent ","","Make a Wish","02/24/2019","B",Mare,"Make a Wish","Curlin","Got Lucky","Charlatan","04/12/2022","pregnant","Broodmare","R.N.A. (435,000)",---
1,0103,"Hidden Brook, Agent for Woodslane Farm ","","Malibu Curl","01/23/2018","CH",Filly,"Malibu Curl","Curlin","Prospector's Moon","","","","Racing or Broodmare Prospect","Fleetwood for Sea Horse Breeders",370000
1,0104,"Gainesway, Agent for the Estate of Helen K. Groves","","Marzipan","04/13/2019","B",Mare,"Marzipan","Candy Ride (ARG)","And Why Not","Blame","05/06/2022","pregnant","Broodmare","WinStar Farm",550000
1,0105,"Hagyard Farm ","","Mascotte","02/26/2017","CH",Mare,"Mascotte","Speightstown","Soldata","Goldencents","02/27/2022","pregnant","Broodmare","Gallagher's Stud / Marlene Brody",200000
1,0106,"Eaton Sales, Agent ","","Speightstown --- Maybe Wicked","01/13/2022","DB/BR",Filly,"","Speightstown","Maybe Wicked","","","","Weanling","R.N.A. (240,000)",---
1,0107,"Mulholland Springs, Agent III ","","Code of Justice","04/12/2022","B",Colt,"Code of Justice","Into Mischief","Meal Ticket","","","","Weanling","Out",0
1,0108,"Scott Mallory, Agent III ","","Justify --- Mia Karina","01/24/2022","CH",Filly,"","Justify","Mia Karina","","","","Weanling","Rascal Bloodstock",175000
1,0109,"Hermitage Farm, Agent ","","Mischievous Kiss","02/05/2019","DB/BR",Filly,"Mischievous Kiss","Into Mischief","Kiss the Devil","","","","Racing or Broodmare Prospect","Parks Investment Group",460000
1,0110,"Taylor Made Sales Agency, Agent CXXXVIII ","","Mise Le Meas (IRE)","02/02/2019","B",Filly,"Mise Le Meas (IRE)","New Bay (GB)","Mise (IRE)","","","","Racing or Broodmare Prospect","Out",0
1,0111,"Taylor Made Sales Agency, Agent CXL ","","Miss Everything","02/12/2019","DB/BR",Filly,"Miss Everything","Tiznow","Wynning Is Sweet","","","","Racing or Broodmare Prospect","Out",0
1,0112,"Gainesway, Agent XIII ","","Miss Mosaic","04/18/2016","CH",Mare,"Miss Mosaic","Verrazano","Glittering Tax","Tapit","03/01/2022","pregnant","Broodmare","WinStar Farm and GMP Stables LLC",500000
1,0113,"Hill 'n' Dale at Xalapa, Agent ","","Misty North","02/11/2010","B",Mare,"Misty North","North Light (IRE)","Misty Gallop","Curlin","03/09/2022","pregnant","Broodmare","Out",0
1,0114,"Gainesway, Agent XX ","","Cash the Money","02/17/2022","B    ",Colt,"Cash the Money","Gun Runner","Money Huntress","","","","Weanling","Golden Star Farm",490000
1,0115,"Gainesway, Agent XX ","","McKinzie --- More Chocolate","02/17/2022","B",Filly,"","McKinzie","More Chocolate","","","","Weanling","Out",0
1,0116,"Taylor Made Sales Agency, Agent CLIV ","","More Than Unusual","04/21/2017","B",Mare,"More Than Unusual","More Than Ready","Unusual Way","","","","Racing or Broodmare Prospect","KiCourt, LLC",100000
1,0117,"Paramount Sales, Agent LXXI ","","Barra Da Tijuca","01/24/2022","GR/RO",Filly,"Barra Da Tijuca","Tapit","Moyo Honey","","","","Weanling","R.N.A. (260,000)",---
1,0118,"Hill 'n' Dale at Xalapa, Agent ","","Maclean's Music --- My Happy Place","03/27/2022","DB/BR",Colt,"","Maclean's Music","My Happy Place","","","","Weanling","The Clover Leaf Farm",130000
1,0119,"Glennwood Farm Inc., Agent ","","My Perfect Wave","05/08/2022","CH   ",Filly,"My Perfect Wave","American Pharoah","My Perfect Ten","","","","Weanling","Chad Schumer, Agent",30000
1,0120,"Claiborne Farm, Agent ","","Naples Gal","03/30/2022","B    ",Filly,"Naples Gal","War Front","Naples Princess","","","","Weanling","John L. Cox",250000
1,0121,"ELiTE, Agent ","","Nazuna (IRE)","02/15/2018","B",Filly,"Nazuna (IRE)","Kodiac (GB)","Night Fever (IRE)","","","","Racing or Broodmare Prospect","Out",0
1,0122,"Gainesway, Agent XXXVII ","","Neige Blanche (FR)","04/28/2017","CH",Mare,"Neige Blanche (FR)","Anodin (IRE)","Bianca Neve (FR)","","","","Racing or Broodmare Prospect","Narvick International",485000
1,0123,"Hunter Valley Farm, Agent ","","Nereid","03/04/2008","DB/BR",Mare,"Nereid","Rock Hard Ten","Dowry","Charlatan","04/23/2022","pregnant","Broodmare","Glen Hill Farm",225000
1,0124,"Hunter Valley Farm, Agent ","","Tap the Rock","01/30/2022","GR/RO",Colt,"Tap the Rock","Tapit","Nereid","","","","Weanling","Chad Schumer, Agent",250000
1,0125,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ","","Noted and Quoted","03/05/2014","GR/RO",Mare,"Noted and Quoted","The Factor","Silver Cub","Uncle Mo","03/13/2022","pregnant","Broodmare","Walmac Farm",460000
1,0126,"Taylor Made Sales Agency, Agent LXXXII ","","Not This Time --- Onebrethatatime","03/27/2022","DB/BR",Filly,"","Not This Time","Onebrethatatime","","","","Weanling","C. Clement as Agent",170000
1,0127,"Paramount Sales, Agent XXV ","","Orinoco River","04/03/2019","B",Mare,"Orinoco River","War Front","Coin Broker (IRE)","Wootton Bassett","03/25/2022","pregnant","Broodmare","R.N.A. (485,000)",---
1,0128,"Taylor Made Sales Agency, Agent CLX ","","Ouraika (FR)","04/28/2019","B",Filly,"Ouraika (FR)","Zelzal (FR)","Sleek Gold (GB)","","","","Racing or Broodmare Prospect","Mandore Int. Agency",125000
1,0129,"Brookdale Sales, Agent for Jack Swain ","","Overjoyed","01/22/2017","B",Mare,"Overjoyed","Medaglia d'Oro","Belle Watling","Charlatan","05/08/2022","pregnant","Broodmare","Out",0
1,0130,"Taylor Made Sales Agency, Agent LXIX ","","Paradise Song","04/05/2018","DB/BR",Mare,"Paradise Song","Frosted","Yawkey Way","Authentic","03/10/2022","pregnant","Broodmare","Siena Farms, LLC",250000
1,0131,"Valkyre Stud, Agent I ","","Passing Out","04/18/2016","B",Mare,"Passing Out","Orb","Party Now","Maxfield","05/11/2022","pregnant","Broodmare","Candy Meadows LLC",450000
1,0132,"Eaton Sales, Agent ","","Pass the Plate","02/02/2017","DB/BR",Mare,"Pass the Plate","Temple City","Pocket Gift","","","","Racing or Broodmare Prospect","R.N.A. (485,000)",---
1,0133,"Legacy Bloodstock, Agent XXVI ","","Omaha Beach --- Perfect View","04/09/2022","B    ",Filly,"","Omaha Beach","Perfect View","","","","Weanling","R.N.A. (60,000)",---
1,0134,"Warrendale Sales, Agent IX ","","Gun Runner --- Picton","02/28/2022","B",Colt,"","Gun Runner","Picton","","","","Weanling","Out",0
1,0135,"Gainesway, Agent IX ","","Munnings --- Pink Caddy","02/11/2022","CH   ",Colt,"","Munnings","Pink Caddy","","","","Weanling","Sonny Stokes / Hoby Kight, Agent",200000
1,0136,"Gainesway, Agent IX ","","Tapit --- Plenty O'Toole","02/24/2022","CH",Colt,"","Tapit","Plenty O'Toole","","","","Weanling","AAA Thoroughbreds",275000
